Sales,Profit
284.364,-75.8304
665.408,66.5408
63.88,24.9132
129.568,-24.294
747.558,-96.1146
8.928,3.348
103.92,36.372
899.91,377.9622
51.312,18.6006
23.56,7.068
1272.63,-814.4832
28.485,-20.889
185.376,-34.758
78.272,5.8704
254.744,-312.0614
205.3328,-36.2352
4.788,-7.9002
55.48,26.6304
340.92,3.4092
222.666,10.4784
703.968,87.996
92.52,24.9804
62.65,28.819
94.85,45.528
95.76,7.182
40.2,19.296
14.7,6.615
704.25,84.51
9.09,1.9089
5.96,1.6688
159.98,57.5928
29.6,14.8
514.165,-30.245
279.96,17.4975
2735.952,341.994
7.992,0.5994
63.984,10.3974
70.368,6.1572
449.15,8.983
11.07,5.0922
93.98,13.1572
189.882,-94.941
105.42,51.6558
119.616,40.3704
255.76,81.8432
241.568,18.1176
69.3,22.869
22.62,-15.08
14.952,-11.9616
801.568,50.098
2.376,-1.9008
32.792,11.8871
15.92,5.373
2.74,0.7398
8.34,2.1684
46.74,11.685
6354.95,3177.475
126.3,40.416
38.04,12.1728
7.152,0.7152
6.63,1.7901
5.88,1.7052
2999.95,1379.977
51.45,13.8915
11.96,5.382
1126.02,56.301
18.392,5.2877
129.568,-25.9136
14.112,-21.168
210.98,21.098
55.176,-12.4146
66.26,27.1666
22.2,10.434
683.952,42.747
45.696,5.1408
36.336,-7.2672
666.248,-149.9058
52.512,19.692
190.72,11.92
47.94,2.397
979.95,274.386
22.75,11.375
16.768,1.4672
42.616,-68.1856
10.752,3.36
152.94,41.2938
283.92,70.98
468.9,206.316
380.864,38.0864
646.776,-145.5246
58.112,7.264
100.792,6.2995
66.112,-84.2928
41.28,13.932
13.36,6.4128
250.272,15.642
11.364,-17.046
8.72,-1.744
1121.568,0
34.504,6.0382
10.824,2.5707
1295.78,310.9872
19.456,3.4048
20.7,9.936
1335.68,-217.048
32.4,15.552
42.6,16.614
84.056,27.3182
13,1.3
13.128,3.7743
3.96,0
2.61,1.2006
374.376,46.797
91.84,45.0016
81.088,27.3672
19.44,9.3312
451.152,0
72.45,34.776
13.96,6.4216
33.264,11.2266
14.85,4.0095
8.82,2.3814
160.72,78.7528
19.92,9.7608
7.3,2.19
69.712,8.714
8.792,-5.7148
51.52,1.5456
470.376,52.9173
105.584,9.2386
31.152,3.5046
6.783,-4.7481
406.368,30.4776
70.98,4.9686
294.93,144.5157
84.784,-20.1362
20.736,7.2576
16.821,-12.8961
10.368,3.6288
9.344,1.168
31.2,9.75
76.12,22.0748
1199.976,434.9913
445.96,55.745
327.76,91.7728
11.632,1.0178
143.982,-28.7964
494.376,-115.3544
5.84,0.73
142.776,17.847
45.696,5.1408
7.218,-5.5338
43.188,-31.6712
131.904,47.8152
3.282,-2.6256
21.168,2.3814
55.188,-10.1178
369.576,41.5773
15.712,5.6956
8.448,2.64
728.946,-157.9383
119.94,15.992
3.648,-2.7968
40.48,15.7872
9.94,3.0814
107.424,33.57
37.91,10.9939
88.02,27.2862
8.69,-14.773
301.96,87.5684
555.21,178.901
523.48,130.87
161.82,46.9278
35.56,12.0904
97.16,28.1764
15.24,5.1435
13.23,6.0858
243.384,-51.7191
119.8,29.95
300.768,30.0768
17.88,2.4585
235.944,85.5297
392.94,43.2234
18.882,-13.8468
122.328,12.2328
1049.2,272.792
15.424,5.0128
18.84,6.0288
330.4,85.904
26.25,12.6
132.52,54.3332
6.48,3.1752
209.3,56.511
31.56,9.8625
30.144,3.0144
14.8,6.068
302.376,22.6782
316,31.6
379.4,178.318
97.82,45.9754
103.12,10.312
113.552,8.5164
3.318,-2.6544
134.288,45.3222
701.372,-50.098
2.308,-3.462
999.432,124.929
724.08,-135.765
918.785,-118.1295
2.724,-4.2222
459.95,18.398
10.74,5.2626
23.76,2.079
85.056,28.7064
381.576,28.6182
30.36,8.7285
23.976,-14.3856
108.925,-71.8905
36.352,11.36
19.56,1.7115
61.44,16.5888
38.9,17.505
99.39,40.7499
2.688,-7.392
27.816,4.5201
82.524,-41.262
182.994,-320.2395
14.352,4.6644
64.96,2.5984
68.6,18.522
7999.98,-3839.9904
167.44,14.651
479.97,163.1898
14.62,6.8714
19.44,9.3312
191.984,4.7996
104.01,14.5614
284.82,74.0532
36.84,10.3152
166.24,24.936
33.4,16.032
198.272,17.3488
47.36,17.76
200.984,62.8075
97.696,31.7512
2.696,0.8088
18.588,-13.6312
4.896,-3.4272
15.072,4.1448
209.88,35.6796
369.912,-13.8717
10.368,3.6288
166.84,18.7695
15.216,2.2824
119.96,52.7824
883.92,-110.49
46.72,15.768
55.48,26.6304
24.448,8.8624
281.34,109.7226
307.98,89.3142
299.97,113.9886
19.92,6.972
9.94,3.0814
103.056,24.4758
59.808,19.4376
73.32,21.996
146.82,73.41
1652.94,231.4116
296.37,80.0199
129.92,21.112
45.584,5.1282
17.568,6.3684
55.992,5.5992
182.72,84.0512
400.032,-153.3456
33.63,10.089
542.646,102.4998
6.3,3.024
242.94,9.7176
179.97,86.3856
99.696,33.6474
27.936,9.4284
84.98,18.6956
18.72,6.552
49.98,8.4966
11.784,4.2717
272.736,-64.7748
3.54,-5.487
51.52,-10.948
3.528,1.1466
4.624,1.6762
55.168,6.2064
567.12,-28.356
359.32,7.1864
11.992,0.8994
58.05,26.703
157.74,56.7864
56.98,22.792
2.88,1.4112
1199.976,374.9925
79.92,28.7712
383.438,-167.3184
24.56,6.8768
119.8,47.92
13.128,4.2666
22.72,10.224
58.32,27.9936
12.39,5.6994
107.982,-26.9955
11.36,5.3392
50.94,25.47
646.74,258.696
5.64,2.7072
572.58,34.3548
310.88,23.316
641.96,179.7488
18.28,9.14
207,51.75
32.35,16.175
7.71,3.4695
40.3,10.881
34.58,14.5236
32.76,3.6855
544.008,40.8006
59.94,28.1718
23.92,11.7208
4.28,1.926
32.07,-22.449
24,-2.7
35.49,-15.6156
47.984,0.5998
186.69,87.7443
17.456,5.8914
348.928,34.8928
143.96,69.1008
15.42,4.1634
43.04,21.0896
332.94,79.9056
1363.96,85.2475
9.96,4.5816
21.72,10.6428
20.16,9.8784
132.79,63.7392
12.96,6.2208
21.56,10.3488
283.92,17.745
22.23,7.3359
215.968,18.8972
355.32,99.4896
12.96,6.2208
18.28,6.2152
43.176,4.3176
1983.968,247.996
28.4,11.076
149.97,50.9898
11.52,3.2256
1298.55,311.652
213.92,62.0368
25.78,2.578
18.28,6.2152
1399.93,601.9699
51.84,24.8832
5.344,1.8704
41.472,14.5152
3.168,-2.4288
1228.465,0
31.086,-22.7964
335.52,117.432
239.97,71.991
9.82,4.8118
67.8,4.068
167.97,40.3128
35,16.8
37.24,10.7996
15.28,7.4872
301.96,90.588
180.66,50.5848
191.98,51.8346
65.99,17.1574
35.216,2.6412
23.696,6.5164
265.475,-111.4995
51.184,-79.3352
9.664,3.2616
21.072,1.5804
60.45,16.3215
11.52,3.3408
186.048,9.3024
37.44,11.7
26.976,8.7672
11.36,3.2944
14.62,6.8714
83.72,23.4416
287.94,77.7438
48.896,8.5568
115.36,49.6048
5.16,1.3416
38.88,18.6624
185.88,50.1876
44.46,14.6718
242.94,9.7176
39.96,18.7812
102.3,26.598
21.36,5.7672
7.61,3.5767
7.16,3.58
7.36,0.1472
23.1,10.626
191.472,40.6878
5.248,0.5904
59.184,5.1786
2.89,1.3583
51.94,21.2954
15.936,5.1792
44.91,-35.928
1141.47,-760.98
280.782,-46.797
34.44,17.22
11.36,5.2256
106.344,37.2204
192.16,67.256
322.59,64.518
29.99,13.1956
371.97,66.9546
5.892,-4.1244
68.472,23.1093
1242.9,262.39
30.84,8.3268
13.48,5.9312
31.4,10.048
17.46,5.9364
13.944,4.5318
83.76,1.6752
37.66,18.4534
34.68,16.9932
149.95,14.995
51.312,18.6006
4.54,2.043
15.92,5.4128
543.92,135.98
155.82,42.0714
70.008,24.5028
15.648,5.0856
103.6,51.8
46.96,22.5408
8.904,-6.5296
10.44,3.393
18.336,-32.088
323.976,20.2485
20.04,9.6192
64.96,2.5984
12.96,6.2208
323.136,12.1176
90.93,2.7279
52.776,19.791
1199.8,323.946
1928.78,829.3754
352.38,81.0474
22.2,9.102
46.94,19.2454
143.73,56.0547
99.918,-18.5562
797.944,-56.996
8.568,-14.5656
149.352,50.4063
12.992,-0.812
24.56,6.8768
85.14,34.9074
21.99,10.5552
406.6,113.848
841.568,294.5488
15.552,5.4432
252,53.55
46.2,12.936
28.84,9.5172
14.592,2.5536
89.856,21.3408
13.872,5.0286
12.192,4.1148
45.056,15.2064
29.718,-21.7932
15.552,5.4432
447.696,33.5772
159.99,54.3966
12.96,6.2208
134.48,34.9648
17.12,8.0464
6.096,2.2098
1114.272,41.7852
32.4,15.552
540.57,140.5482
167.76,62.91
393.165,-204.4458
516.488,-12.9122
1007.232,75.5424
2065.32,-619.596
15.552,5.4432
25.344,7.92
25.472,7.6416
27.168,2.7168
78.8528,-11.596
173.8,43.45
29.592,2.5893
4.752,-3.168
15.552,5.6376
204.6,53.196
321.568,28.1372
6.24,3.0576
21.88,10.94
4.608,1.6704
9.82,4.8118
35.97,9.7119
12.96,6.2208
191.6,91.968
8.64,4.2336
501.81,0
127.104,28.5984
124.2,-31.05
18.588,-13.6312
30.072,10.1493
160.93,3.2186
75.792,25.5798
1.08,-0.792
3059.982,679.996
3.282,-2.6256
34.02,16.6698
599.292,93.2232
3.392,0.8056
559.984,55.9984
603.92,75.49
7.968,2.5896
27.968,9.4392
336.51,44.868
1.112,-1.8904
520.05,72.807
17.97,5.2113
1166.92,131.2785
14.624,5.484
10.23,4.9104
154.9,69.705
2715.93,1276.4871
617.97,173.0316
10.67,4.9082
36.63,9.8901
24.1,9.158
33.11,12.9129
44.02,11.4452
2309.65,762.1845
1090.782,-290.8752
19.44,9.3312
484.65,92.0835
115.296,40.3536
7.08,2.478
4.401,-3.5208
44.75,20.585
95.984,5.999
151.72,27.3096
155.25,46.575
14.03,4.0687
1618.37,356.0414
99.6,36.852
32.4,15.552
13.96,6.7008
155.82,63.8862
124.95,2.499
601.65,156.429
22.74,8.8686
1267.53,316.8825
1379.92,648.5624
6.208,2.1728
11.808,4.2804
15.552,5.4432
63.312,20.5764
15.588,-9.8724
177.2,83.284
197.97,57.4113
854.94,213.735
124.11,52.1262
14.4,7.056
15.696,5.1012
2.628,-1.9272
14.427,-10.5798
86.62,8.662
36.624,13.734
23.968,2.6964
28.728,1.7955
697.16,146.4036
31.86,11.151
722.352,90.294
8.84,2.9835
58.464,-146.16
254.604,-18.186
1363.96,85.2475
102.36,-3.8385
1113.504,125.2692
99.99,37.9962
168.464,-29.4812
6.72,2.436
282.888,56.5776
11.16,4.3524
108.4,22.764
82.344,27.7911
9.088,3.2944
19.936,7.2268
65.568,22.9488
4.416,1.6008
107.772,-29.2524
45.216,4.5216
10.416,-2.2134
7.872,1.2792
118.782,-27.7158
1.448,0.2353
55.47,-46.225
194.848,12.178
1.744,-0.3488
25.176,-18.4624
19.46,5.0596
29.472,9.9468
8.64,3.024
6.27,-4.598
4.368,-3.3488
31.984,1.999
40.88,10.6288
119.96,33.5888
31.44,8.4888
6.88,2.322
19.92,9.3624
1106.91,121.7601
836.592,-264.9208
26.38,12.1348
362.92,105.2468
4899.93,2400.9657
6.48,3.1104
71.976,7.1976
3.15,1.512
31.984,1.999
71.984,25.1944
120.15,33.642
219.184,19.1786
28.9,14.161
355.96,103.2284
348.208,30.4682
35.784,-28.6272
447.84,11.196
7.04,2.0416
8.73,4.1031
29.29,9.6657
8.64,2.5056
2.694,-4.7145
2.934,-4.9878
22.92,11.2308
100.704,-16.3644
2.328,-0.7566
10.78,-17.248
58.368,21.888
40.968,13.8267
71.96,25.186
10.368,3.6288
1.192,-2.0264
46.672,16.3352
119.833,-12.6882
119.98,57.5904
6.3,3.024
279.9,137.151
619.95,111.591
4.36,2.0492
15.28,7.4872
699.93,181.9818
22.96,6.6584
38.6,11.58
6.63,1.7901
23.34,10.9698
1067.94,224.2674
10.16,2.6416
101.88,50.94
343.92,75.6624
40.99,20.0851
63.9,28.755
19.44,9.3312
124.608,-23.364
7.56,2.646
85.224,7.4571
287.52,129.384
37.68,10.5504
19.98,8.991
20.58,5.5566
17.38,8.69
204.6,53.196
8.72,2.8776
6.48,3.1104
686.32,223.054
62.18,16.7886
644.076,107.346
5.84,2.628
12.76,5.8696
10.95,0.438
599.98,209.993
8.352,1.2528
3.64,1.638
159.768,53.9217
122.48,0
2244.48,493.7856
62.31,29.2857
455.1,100.122
195.184,19.5184
362.94,90.735
11.54,5.77
53.94,15.6426
9.99,4.5954
125.76,40.872
25.32,9.1785
46.8,21.06
447.93,49.2723
109.48,33.9388
272.94,0
19.44,9.3312
31.92,8.2992
22.38,10.7424
16.52,5.5755
5.176,-7.764
50.112,16.2864
27.93,8.0997
11.56,5.4332
172.5,51.75
179.97,44.9925
258.696,64.674
1322.93,357.1911
3.76,1.0904
21.744,7.3386
7.92,0.693
12.096,4.2336
485.88,9.7176
25.92,12.4416
197.58,53.3466
81.92,22.1184
889.536,66.7152
892.224,89.2224
223.92,109.7208
23.12,11.3288
15.552,5.4432
15.712,2.5532
24.672,2.1588
55.968,-2.0988
431.928,64.7892
95.984,-4.1136
1088.792,-1850.9464
544.008,40.8006
1.872,-1.4352
854.352,10.6794
593.568,0
338.04,-33.804
271.96,16.9975
11.21,3.363
9.144,3.2004
14.07,6.8943
41.86,10.465
8.544,2.8836
579.136,21.7176
141.372,-48.4704
3.036,-2.3276
4.503,-3.6024
4.672,1.5768
95.88,28.764
17.024,1.7024
258.696,64.674
1931.958,-386.3916
249.75,44.955
255.936,28.7928
113.79,20.4822
78.15,34.386
1.728,0.6048
40.56,19.8744
182.94,3.6588
193.86,11.6316
15.28,7.4872
8.73,2.9682
5.68,1.7608
2.78,0.7228
79.96,35.982
839.988,69.999
47.952,13.7862
37.425,-29.94
63.968,0
165.048,41.262
12.35,5.434
40.97,10.6522
22.96,10.7912
22,5.5
398.352,124.485
8.72,3.5752
48.69,23.8581
764.688,95.586
3610.848,135.4068
254.9745,11.9988
38.82,17.469
1141.938,139.5702
1704.56,511.368
3.2,1.376
1099.96,285.9896
5.248,0.5904
35.91,-8.379
6.696,0.5022
43.872,11.5164
27.882,-20.4468
540.048,-47.2542
255.68,76.704
863.88,107.985
17.616,-14.0928
17.472,6.3336
69.9,18.873
41.85,10.881
6.57,1.7739
142.86,41.4294
292.272,18.267
29.328,3.666
12.48,5.616
102.336,-12.792
48.792,-126.8592
44.848,-67.272
10.368,3.6288
388.43,-88.784
14.352,5.2026
63.992,-7.1991
86.352,5.397
32.97,12.8583
83.88,30.1968
278.4,80.736
15.12,4.914
17.43,-13.363
251.64,88.074
2.772,-4.851
14.9,1.043
15.48,4.4892
39.88,11.1664
12.192,4.1148
20.82,7.4952
13.216,4.4604
32.4,15.552
32.94,9.2232
114.2,52.532
3.08,1.4784
845.728,84.5728
13.904,4.5188
20.72,6.475
114.95,2.299
26.96,7.0096
572.76,166.1004
286.38,83.0502
61.96,4.3372
23.99,5.5177
287.97,77.7519
419.944,52.493
46.76,22.4448
17.712,6.4206
21.78,5.6628
161.94,9.7164
161.568,-8.0784
3.69,1.7343
122.12,56.1752
155.372,-13.3176
38.88,18.6624
183.84,62.5056
579.3,28.965
14.2,3.3725
575.92,71.99
5.184,-3.6288
5.229,-4.1832
285.552,35.694
72.8,19.656
10.816,3.5152
46.26,12.4902
17.46,-30.555
51.072,5.1072
11.34,5.5566
87.92,26.376
37.05,16.302
2.97,-0.6435
27.44,2.401
1.08,-1.728
7.96,-13.93
140.736,52.776
552.56,0
25.11,6.5286
29.78,8.0406
677.58,176.1708
75.04,36.0192
695.7,-27.828
15.66,-12.528
28.854,-21.1596
47.82,14.346
13.05,6.003
93.78,36.5742
47.18,23.59
19.68,5.7072
53.4,25.098
35.88,17.2224
258.279,-70.1043
31.4,7.85
183.96,20.6955
17.61,8.4528
300.904,11.2839
220.776,-44.1552
281.424,-35.178
79.14,36.4044
1.988,-1.4413
145.568,0
123.256,9.2442
23.68,7.4
309.576,-56.7556
38.388,-25.592
95.994,-63.996
239.952,-35.9928
201.584,15.1188
899.136,-146.1096
145.9,62.737
590.058,-786.744
14.04,1.5795
49.08,4.908
29.6,14.8
17.088,5.5536
912.75,118.6575
1089.75,305.13
447.84,219.4416
16.4,4.264
399.96,34.9965
158.9,7.945
13.184,4.7792
83.952,-90.2484
80.98,1.6196
348.84,170.9316
9.45,0.189
18.84,7.1592
239.98,52.7956
167.96,78.9412
104.85,28.3095
484.83,126.0558
122.97,60.2553
154.44,1.5444
342.37,160.9139
9.552,1.5522
652.45,-430.617
66.645,-42.6528
17.216,6.0256
11.56,5.6644
88.4,11.492
6.48,3.1104
21.8,6.104
251.79,118.3413
205.176,-58.1332
419.4,146.79
10.304,-2.1896
154.764,-36.1116
116.784,21.897
75.48,19.6248
39.98,9.995
393.165,-204.4458
23.68,8.88
408.006,72.5344
165.28,14.8752
334.768,108.7996
239.97,26.3967
37.74,12.8316
946.344,118.293
151.2,32.13
4.928,-1.4784
86.272,31.2736
72.588,-48.392
60.672,14.4096
77.031,-59.0571
119.904,-1.4988
263.96,23.0965
363.648,-86.3664
9.728,3.2832
14.75,7.08
29.8,9.3125
427.42,196.6132
220.752,-40.4712
152.76,74.8524
7.27,1.9629
1819.86,163.7874
33.9,15.594
31.104,10.8864
5.248,0.5904
263.88,42.8805
2453.43,-350.49
29.7,13.365
39.96,17.982
36.672,11.46
13.76,6.3296
139.424,17.428
1979.928,148.4946
164.736,-39.1248
470.302,-87.3418
47.984,5.998
2.502,-1.7514
88.752,11.094
2.025,-1.35
70.98,34.7802
91.68,45.84
33.75,16.875
3040,1459.2
91.2,41.952
452.94,67.941
52.2,23.49
15.936,5.1792
27.46,9.8856
55.424,19.3984
244.006,-31.3722
159.984,43.9956
1024.716,-29.2776
3.68,1.8032
121.376,-3.0344
95.976,-10.7973
255.968,31.996
872.94,226.9644
41.54,19.5238
12.96,6.2208
6.848,0.5992
8.67,4.0749
6.688,-4.0128
17.28,5.0112
17.712,6.4206
28.91,13.2986
52.136,5.8653
31.968,2.3976
25.92,12.4416
40.46,19.8254
33.87,8.8062
9.728,1.7024
3.424,1.07
177,30.09
3.76,1.316
1212.848,106.1242
89.97,37.7874
42.6,16.614
5.04,1.764
62.96,28.332
5.88,2.8812
977.292,173.7408
9.64,3.6632
40.05,11.214
10.192,3.185
16.784,-0.2098
13.12,3.772
18.16,6.583
16.056,5.8203
223.056,69.705
540.048,-47.2542
33.52,3.352
9.94,3.0814
6.72,3.36
1004.976,-175.8708
17.88,5.5875
396,190.08
34.5,15.525
8.36,3.0096
385.6,111.824
35.82,11.8206
200.064,12.504
21.38,-33.139
6.744,-11.4648
63.686,-9.098
1669.6,116.872
83.84,27.248
13.272,4.3134
21.336,7.7343
16.52,2.065
206.112,48.9516
19.92,6.723
198.272,61.96
247.104,-58.6872
86.304,9.7092
4.16,0.364
11.648,3.3488
26.18,0.5236
7.3,3.431
74.352,23.235
10.744,0.8058
8.376,2.7222
212.88,0
203.983,16.7986
40.74,0.4074
11.67,3.0342
39.99,11.5971
16.28,6.512
782.94,203.5644
242.48,116.3904
8.32,2.288
10.464,1.7004
82.896,29.0136
34.24,16.0928
1573.488,196.686
335.52,117.432
23.912,-40.6504
27.056,2.3674
559.992,174.9975
9.324,-24.7086
111.96,54.8604
21.56,10.3488
124.75,57.385
5.28,1.5312
91.96,39.5428
9.344,3.504
79.36,9.92
171.96,44.7096
35.352,12.8151
18.9,9.072
2.78,0.7228
1044.63,-295.9785
11.352,4.1151
354.9,17.745
453.576,39.6879
21.48,-0.2685
8.784,-13.6152
122.97,60.2553
12.84,3.7236
603.92,-67.941
21.84,10.4832
29.99,6.2979
381.44,23.84
